question_id,Source,question,answer_a,answer_b,answer_c,answer_d,answer_e,answer_f,answer_g,correct_answer,category,subdomain,age_group,pedagogical_subdomain,year,secondary_category,question_id_original,pred_gemma-3-27b,Latency_gemma-3-27b,TokensUsed_gemma-3-27b,TokensUsedCompletion_gemma-3-27b,TokensUsedReasoning_gemma-3-27b,pred_gemma-3-4b-it,Latency_gemma-3-4b-it,TokensUsed_gemma-3-4b-it,TokensUsedCompletion_gemma-3-4b-it,TokensUsedReasoning_gemma-3-4b-it,pred_o4-mini-2025-04-16,Latency_o4-mini-2025-04-16,TokensUsed_o4-mini-2025-04-16,TokensUsedCompletion_o4-mini-2025-04-16,TokensUsedReasoning_o4-mini-2025-04-16,pred_qwen-3-32b,Latency_qwen-3-32b,TokensUsed_qwen-3-32b,TokensUsedCompletion_qwen-3-32b,TokensUsedReasoning_qwen-3-32b,pred_fw-deepseek-r1-0528,Latency_fw-deepseek-r1-0528,TokensUsed_fw-deepseek-r1-0528,TokensUsedCompletion_fw-deepseek-r1-0528,TokensUsedReasoning_fw-deepseek-r1-0528,pred_claude-sonnet-4-5-20250929,Latency_claude-sonnet-4-5-20250929,TokensUsed_claude-sonnet-4-5-20250929,TokensUsedCompletion_claude-sonnet-4-5-20250929,TokensUsedReasoning_claude-sonnet-4-5-20250929,pred_gemini-2.5-flash-preview-09-2025,Latency_gemini-2.5-flash-preview-09-2025,TokensUsed_gemini-2.5-flash-preview-09-2025,TokensUsedCompletion_gemini-2.5-flash-preview-09-2025,TokensUsedReasoning_gemini-2.5-flash-preview-09-2025,pred_gemini-2.5-flash-lite-preview-09-2025,Latency_gemini-2.5-flash-lite-preview-09-2025,TokensUsed_gemini-2.5-flash-lite-preview-09-2025,TokensUsedCompletion_gemini-2.5-flash-lite-preview-09-2025,TokensUsedReasoning_gemini-2.5-flash-lite-preview-09-2025,pred_gemini-3-pro-preview,Latency_gemini-3-pro-preview,TokensUsed_gemini-3-pro-preview,TokensUsedCompletion_gemini-3-pro-preview,TokensUsedReasoning_gemini-3-pro-preview,pred_gpt-5.2-2025-12-11-medium,Latency_gpt-5.2-2025-12-11-medium,TokensUsed_gpt-5.2-2025-12-11-medium,TokensUsedCompletion_gpt-5.2-2025-12-11-medium,TokensUsedReasoning_gpt-5.2-2025-12-11-medium
70,Pedagogy Benchmark Luganda,"Mu kibiina kya siniya esooka, mu kiseera ky'okusoma ku nfumo n'ebitontome ebikwata ku butonde, omusomesa alina ekiruubirirwa kino: ""Okwekenneenya ekifo ky'abantu ab'enjawulo mu nfumo ezikwata ku butonde."" Okusobola okutuuka ku kino, alonze enfumo ez'enjawulo ezikoleddwa obuwangwa obw'enjawulo.Ku bikolwa bino wammanga, kiki ekisaanira abayizi okukola okusobola okutuukiriza ekigendererwa kino?",Kola kaadi eziraga abantu abali mu nfumo n'obuwangwa bwe bavaamu.,"Kola ebifaananyi ebiraga enjawulo wakati w'abantu abakulu, abato n'abatali ba mugaso mu nfumo ezirondebwa",Kola emmeeza eziraga engeri ebintu ebimu ebiri mu nfumo ezo gye bikwataganamu n’ebintu ebya bulijjo ebibinnyonnyolwako.,Wandiika obuwandiike obumpimpi mwe bannyonnyola empisa z'abantu abakulu abali mu nfumo gye beeyisaamu.,,,,C,Literacy,Teaching strategies,Secondary,,,,303,A,1.5010475999952178,1465,3,0,C,0.4750604000000749,1464,2,0,A,5.847155100003874,1875,595,576,C,5.681158700004744,1854,332,408,D,6.548979399995005,1843,331,,D,2.691726199998812,1642,4,0,B,5.087173499996425,2322,1,867,A,0.9254361999992398,1455,1,,C,52.85688229999505,5607,1.0,4152,B,3.867623700003605,1424,144,134
71,Pedagogy Benchmark Luganda,"Omusomesa wa pulayimale yalagidde abayizzi be ab'ekibiina eky'okusattu okusoma nga bwebaddamu olugero olumpi olulagibbwa ku lutimbe. Mukusooka, bali bakusoma kinnomu atte mukasirise, oluvanyumma, baatule, nga bagoberera obubonero obwempandika. Kika ki eky'okuyiga ekifuna mu mu bikolwa ebilagiddwa?",Okukuguka mu byensoma,Okuzzamu ammanyi okusoma okw'okutegera,Okwekeneenya enjatula y'ebigambo,Okummanya okusoma okw'obubonero,,,,A,Literacy,Student understanding,Secondary,,,,307,B,1.46631179999531,1330,3,0,D,0.5213434000033885,1329,2,0,D,7.119901999998547,1876,723,704,B,20.252348000001803,1807,418,416,D,13.538962899998296,1890,518,,D,2.7265007000023616,1473,4,0,A,4.216928699999698,2028,1,708,B,1.0219559999968624,1320,1,,A,13.634043199999724,2267,,948,D,4.01978049997706,1265,112,102
72,Pedagogy Benchmark Luganda,"Omusomesa wa pulayimale yalagidde abayizzi be ab'ekibiina eky'okusattu okusoma nga bwebaddamu olugero olumpi olulagibbwa ku lutimbe. Mukusooka, bali bakusoma kinnomu atte mukasirise, oluvanyumma, baatule, nga bagoberera obubonero obwempandika. Kika ki eky'okuyiga ekifuna mu mu bikolwa ebilagiddwa?",Okukuguka mu byensoma,Okuzzamu ammanyi okusoma okw'okutegera,Okwekeneenya enjatula y'ebigambo,Okummanya okusoma okw'obubonero,,,,A,Literacy,Student understanding,Secondary,,,,308,B,1.3229993999993894,1330,3,0,D,0.4611502999978256,1329,2,0,D,5.982322700001532,1748,595,576,B,7.315875000000233,1740,350,417,D,11.023324699999648,1920,548,,D,3.0823709000032977,1473,4,0,A,4.096141000001808,2029,1,709,B,0.9227364999969724,1320,1,,A,14.165126400010196,2267,,948,D,4.302803399972618,1323,170,160
73,Pedagogy Benchmark Luganda,"Omusomesa,  mu siniya ey'okubiri, agenda kukola okunoonyereza n’abayizi ku byafaayo by’ebitabo eby’Omulembe Ogwa Zaabu, ng’asingira ku mpisa n’embeera y’ebyafaayo ey’ekiseera ekyo. Oluvannyuma lw’okunoonyereza ku yintaneeti, abayizi bagenda kuteeka awamu olukalala lw’ebitabo olugazi, ate oluvannyuma balonde ebiwandiiko ebisinga okuba ebituufu okusinziira ku kigendererwa ky’okunoonyereza. Ki ku bino  wammanga omusomesa by’ateesseza,  ogusinga okuba omutuufu okulonda ebiwandiiko ebinoonyerezeddwako?",Kola ebiwandiiko ebikwata ku by'osomye okusinziira ku nsibuko z'osomyeko oluvannyuma osalewo ensibuko ki gy'ogenda okukozesa.,"Sooka osome ebiwandiiko mu bujjuvu okusobola okutegeera ensonga enkulu, oluvannyuma wetegeleze obukulu bw'amawulire ago okusinziira ku bigendererwa by'okunoonyereza.","Kozesa obukodyo okuzuula omutwe n'ensonga enkulu ey'ensibuko z'osomyeko oluvannyuma ogatte obubaka okusinziira ku mitwe emitono, okusinziira ku kigendererwa ky'okunoonyereza",Kola ebiwandiiko ebikulu ebikwata ku nsibuko era oteekewo ebiwandiiko ebiraga obubaka obutwalibwa okuba nga bwe businga okuba obw’omugaso mu kunoonyereza.,,,,B,Literacy,Teaching strategies,Secondary,,,,311,B,1.394541499998013,1594,3,0,D,0.479317399993306,1593,2,0,B,3.2934879999957047,1743,339,320,B,11.300597699999344,2215,554,658,D,7.955323099995439,1953,302,,C,2.654425099994114,1767,4,0,D,6.070126699996763,2732,1,1148,B,1.027613799997198,1584,1,,B,20.85045379999792,3127,1.0,1543,B,5.721362299984321,1613,209,199
74,Pedagogy Benchmark Luganda,"Omusomesa wa siniya, mu mutendera ogwookuna mu kitundu kye nyinnyonyola y'omulembe guno,alaga okunnyonyola okw'enjawulo naddala ku biwandiiko eby'omulembe guno. Oluvannyuma lw'okunyonyola endowooza ya polyphony mu biwandiiko wamu n'eby'okulabirako ebimu, akizuula nti waliwo abayizi abatannaba kutegeera bulungi kibeeramu biki. Mu kubanguyiza okutegeera, asalawo okunyonyola endowooza okuyita mu kugeerageranya. Kugeerageranya ki omusomesa kwa nakozesa okulaga okubanguyiza okutegeera mu ndowooza ya polyphony mu biwandiiko?","Ekibiina ky'abayimbi ekya ssomero kiyimba oluyimba lw'essomero ku mukolo gw'eggwanga.
","Omukwano ogumu gusisinkana oluvannyuma lw'oluwummula okugabana ebifaananyi byabwe n'ebyo bye bayitamu.
","Omuntu ali mu kisaawe era n'ayogera ku nneeyisa y'abaana abakilizaawo.
","Omufumbo gw’ebimuli bwe gugwa okuva ku bbalakoni ne gugwa ku mmotoka eyimiridde, abalabye boogera bye baalabye.
",,,,D,Literacy,Teaching strategies,Secondary,,,,316,D,1.3593502000003357,1508,3,0,D,1.0225132000050507,1507,2,0,A,7.412198500001978,2229,915,896,B,3.328446100000292,2028,458,585,D,9.033911999998963,1946,387,,D,3.2904226999962702,1677,4,0,D,5.781197100004647,2471,1,973,A,0.9758784000005108,1498,1,,D,12.088076999993064,2284,,787,D,2.968349799979478,1413,99,89
75,Pedagogy Benchmark Luganda,"Omusomesa wa pulayimale yalagidde abayizzi be ab'ekibiina eky'okusattu okusoma nga bwebaddamu olugero olumpi olulagibbwa ku lutimbe. Mukusooka, bali bakusoma kinnomu atte mukasirise, oluvanyumma, baatule, nga bagoberera obubonero obwempandika. Kika ki eky'okuyiga ekifuna mu mu bikolwa ebilagiddwa?",Okukuguka mu byensoma,Okuzzamu ammanyi okusoma okw'okutegera,Okwekeneenya enjatula y'ebigambo,Okummanya okusoma okw'obubonero,,,,C,Literacy,Teaching strategies,Secondary,,,,322,B,1.5541979999979958,1330,3,0,D,0.973440699999628,1329,2,0,D,4.895931500002916,1684,531,512,D,8.389098899999226,1922,532,527,D,14.083226700000523,1732,360,,D,2.881993100003456,1473,4,0,A,4.15764350000245,2028,1,708,B,0.9800766999978804,1320,1,,A,14.423687599948607,2267,,948,D,4.0285266999853775,1282,129,119
76,Pedagogy Benchmark Luganda,"Mu kibiina  eky'omunaana, omusomesa asaba abayizi okusoma olugero olumpi oluyitibwa 'Olugero' olwa Wislawa Szymborska ate oluvannyuma bakole ebibuuzo ebiyamba okutegeera obulungi ebyo ebiri mu lugero. Abavubi  abamu baaggya eccupa okuva wansi mu nnyanja. Munda mu ccupa mwalimu olupapula, era ku lupapula kwaliko ebigambo bino: ""Muyambe!, Ndi eno. Ennyanja ensumuludde ku kizinga okutali bantu. Ndi ku lubalama era ninda buyambi. Mwanguyeko! Ndi wano!"" –Tekuli lunaku. era kilabaika okuba  nga wayiseewo ebbanga ddene. Eccupa yandiba nga emaze ebbanga ddene nga etengejja – omuvubi eyasooka bwe yagamba. –Era ekifo tekiragiddwa. Tekimanyiddwa wadde nnyanja ki – omuvubi owookubiri bwe yagamba. –Si kya lubeerera wadde kya wala. Ekizinga 'Wano' kiri buli wantu – omulenzi omuvubi owookusatu bwe yagambye. Embeera yafuuka mbi, obusirise ne bubaawo. Amazima agawamu galina ekizibu ekyo. Mu bibuuzo bino wamanga ebyakolebwa abayizi, kibuuzo ki ekikulembera okutegeera amakulu g'olugero olusomeddwa?","Ekigambo 'ekizinga ""Wano"" kiri buli wantu' kitegeeza ki?",Enkomerero y’olugero yandibadde etya singa obubaka bwali busengeke bulungi?,Lwaki abavubi tebawulira bulungi n’okuddamu kw’omusajja owookusatu?,"Singa osanga  eccupa erimu obubaka ng’obwo, wandikoze ki era lwaki?",,,,A,Literacy,Teaching strategies,Secondary,,,,325,A,2.7384560000064084,1651,3,0,C,0.4875436000002082,1650,2,0,D,4.795460800000001,1977,531,512,A,10.755321800003005,2424,700,824,D,9.63122740000108,2116,400,,C,2.7787263999998686,1840,4,0,A,4.979585499997484,2474,1,833,A,0.5466889000017545,1641,1,,A,13.782231899967885,2585,1.0,944,A,2.318381299963221,1511,65,55
77,Pedagogy Benchmark Luganda,"Mu kibiina eky'okutaano,omusomesa ajja okwekkeneenya kyenkana ki abayizi be kye basomye ku nsengeka y'ebikolwa eby'okuzannya katemba Era okutuukiriza kino, agenda kuwandiika  ebiraga eby'enjawulo ebyo kulungamya okunoonya obujulizi ku by'ayize ebifunibwa .Kwekkeneenya ki wammanga okulaga akwawunti ezookutegera olutalo muzannyo gwo okuzannya katemba.","Wawulaana ebikolwa ebikolebwa abantu abakola omuzannyo.
", ,"Laga ensonga eziviiriddeko omuzannyi omukulu n’omuzannyi omubi okukola bye bakola mu muzannyo.
","Laga engeri ebikolwa by'omuntu omukulu n'omulabe mu muzannyo gye bikwatagana n'ebyo bye bayitamu.
",,,,C,Literacy,Assessment,Primary,,,,328,A,1.3777966999987257,1405,3,0,D,0.4893414999969536,1404,2,0,A,8.711207899999863,2316,1107,1088,C,2.879866300005233,1459,1,0,D,9.39060939999763,1796,355,,D,2.5666860999990604,1542,4,0,D,4.88463739999861,2253,1,858,D,0.9667506999976468,1395,1,,C,26.63273889996344,3408,1.0,2013,D,4.567993500037119,1395,186,176
78,Pedagogy Benchmark Luganda,"Omusomesa mu mwaka gwe ogwookusatu mu ssomero lya siniya,akola wamu n'abayizi be kubiruubirirwa bino wammanga:""okutegeera sitayiro y'okunnyumya."" Nga mu kino, annyonyola obubonero bwa buli sitayiro,era alaga eby'okulabirako ebimu era awabula abayizi okwetegereza sitayiro mu bitundu eby'enjawulo ebiggiddwamu. Ekimu ku bitundu  mu sitayiro etali nteerevu wammanga: ""Charles yeewunya obweru obuli mu njala ze. Zaali ntaagavuwamu n'obugumu ku nkomerero yaazo nga zakula bulungi n'amasanga ga diyeppi eyakula nga amanda. Naye omukono tegwali mulungi mpozzi n'okusiibuuka,era nga gufanaana nga embalaasi mu nnyingo; era gwali muwanvu nnyo era nga gubulamu ebifuga ebigonvu eza miyala z'enkula. Ekyali ekirungi ge maaso; newankubadde gaali ga kitaka, galabika nga amaddugavu olw'obukoowekoowe nga era entunula yali  n'obwesimbu n'obuvumu bwe bbugumu.""(Madam Bovary, Gustave Flaubert). Omu ku bayizi addamu nti ekitundu kirina sitayiro etali ntereevu kubanga waliwo omunyumya w'omuntu owookusatu. Nga otunuulira okuddamu okwo,kesiima ki okukwatagana ne sitayiro z'okunyumya eyetaagisa omusomesa okukozesa eri abayizi okutugeera sitayiro etali ntereevu?","Okutegeera engeri omutontomi gy’atunuuliramu ebiri mu lugero
","Okutegeera ebika by’abanoonyereza mu mboozi
","Enjawulo wakati w'eddoboozi ly'omunnyonnyozi n'ery'abantu abakola ebikolwa mu lugero
","Okumanya omuntu annyonnyola byafaayo gy’ayimiridde okutunulira ebyo by’annyonnyola.
",,,,C,Literacy,Student understanding,Secondary,,,,334,C,1.488911699998425,1708,3,0,C,0.5146518000037759,1707,2,0,C,5.2400124999985565,2094,595,576,A,7.804791399998066,2202,427,530,C,11.990155700004834,2034,276,,C,2.4549941000004765,1889,4,0,C,6.628074699998251,2947,1,1249,C,0.8591840000008233,1698,1,,C,28.94519830000354,3833,1.0,2135,C,4.263504699978512,1630,131,121
79,Pedagogy Benchmark Luganda,"Bukenkufu ki ku bukuweredwa  ,obusobola okumanyisa  amakulu g'ebigambo  era lwaki?",Okutondekawo sentensi n'olukalala lw'ebiseera kubanga bikiriza okutegeka ebigambo.,Okukola okwawula n'okufaananya okw'omumwa kubanga bikusobozesa okuwa amakulu eri ebigambo,Okwegezaamu mu ntambula oba envugga n’okwawula ebigambo mu nsalango kubanga bikusobozesa okutegeera eddoboozi ly’ebigambo.,Okukozesa emizannyo gy'ebiseera by'ebikolwa n'okunnyonnyola empisa z'abantu kubanga bikusobozesa okutegeka ebigambo.,,,,B,Literacy,Teaching strategies,"Primary, Secondary",,,,338,C,1.3169951000018043,1362,3,0,C,0.4880410000041593,1361,2,0,C,13.1763976000002,2662,1491,1472,A,10.221444400005566,1845,425,601,C,8.022639000002528,1716,317,,C,2.462786199997936,1507,4,0,B,6.13093860000663,2393,1,1041,B,0.8805838999978732,1352,1,,B,8.189464499999303,1944,1.0,592,B,3.3347635999671184,1274,103,93
80,Pedagogy Benchmark Luganda,"Ku biragiro bino wammanga, kiki ekireetera omuyizi okukulaakulanya okumanya enkozesa y'olulimi mu mbeera ez’enjawulo?",Zuula ensobi mu kyogera mu bigambo ebiri mu ngero ennyimpi.,Kola engero ez'ebigambo ng'okozesa kaadi ez'ebifaananyi by'ebigambo.,Gongyola ebiwandiiko  ebikuweeredwa mu bikikyo ebyenjawulo,Tegeka sentensi ennyangu mu ngeri endala ku eyo eteereddwaawo.,,,,A,Literacy,Teaching strategies,"Primary, Secondary",,,,339,B,1.3764783000005991,1312,3,0,C,1.0209238000024925,1311,2,0,C,3.781722699997772,1474,339,320,D,6.909410299995216,1687,326,421,C,9.622043700001086,1711,363,,C,2.504778800001077,1444,4,0,C,3.929144300003827,1916,1,614,C,0.9751965000032214,1302,1,,C,9.259293799987065,1894,1.0,592,C,4.697524500021245,1280,145,135
84,Pedagogy Benchmark Luganda,Nga bakola na abayizi ku kigendererwa:'Ssaako langi nga okozesa enkola y'okusiiga ebifaananyi ebisikiriza.' Nsobi ki abayizi ze basinga okukola nga baddamu okutuukiriza langi ez'enjawulo mu bye batabudde?,"Gattika langi ey'ekitundu n'enziru okugifuula enziru ennyo
","Gattika langi y'ekitundu n'eyo egigizuuza okufuna ekisiikirize.
","Gattika langi ey'omubalanguzi n'eruusi okugyongera obweru
","Gabula langi emu enkulu n'endala enkulu okukola eya sekenda
",,,,A,Creative arts,Teaching strategies,"Primary, Secondary",,,,351,B,3.245707399997628,1076,3,0,B,1.4773386999950162,1075,2,0,A,11.069529200001853,1795,851,832,B,7.071109099997557,1625,501,535,B,20.3309448,1731,614,,B,2.7323732000004384,1199,4,0,A,4.725142499999492,1830,1,764,A,0.7725738999943133,1066,1,,A,59.26786409999477,5552,,4487,A,9.710331899987068,1287,343,333
85,Pedagogy Benchmark Luganda,"Omusomesa nga akolera wamu nabayizzi ku nsonga ya langi zobubonero.Mukibiina omuzzi yamubuuza ""langi yo bubonero ekozesebwa etya mubulamu bwa bulijjo?""Biteeso ki wammanga ebirimu ebyokulabirako omusomesa byayinza okugamba omuyizzi?","Mu langi  ekozesebwa mu myooga gye ngoye,Eriwa efaanana langi ye ttaka",Bwensiiga nenzigyayo engeri gye mpulira nga mpitira mu langi,Nga ntekawo ekyokulabirako ekye kitabo,"Mu langi egatta nga ekola ,okugeza akakoloboze ka baasi kalabika mangu",,,,D,Creative arts,Teaching strategies,"Primary, Secondary",,,,352,D,3.903593099996215,1088,3,0,D,0.9756555000058142,1087,2,0,D,6.351971799995226,1557,597,576,B,15.850559899998188,1532,400,522,D,6.825482000000193,1357,228,,D,2.5754114000010304,1208,4,0,D,3.7456483999994816,1726,1,648,D,1.0517468000034569,1078,1,,D,13.398806799959855,1888,1.0,810,D,4.203112600021996,1094,134,124
86,Pedagogy Benchmark Luganda,"Omusomesa ayimiridde ku maaso g'ekibiina aweereza ebyuma ebikola ebiwandiiko, era omu ku bayizi be amubuuza: Kyuma ekikuba ebiwandiiko ekiyitibwa intaglio era ku lwaki? Ku nsonga eziweereddwa wammanga erimu eky'okuddamu omusomesa gya ayinza okuwa okunnyonyola ekibuuzo ky'omuyizi?","Okuyoola ebifananyi, kubanga omuti ogukolebwako kiyoolwa n’ebyuma eby’enjawulo ebisala era ne bikola obutimba obw’omunda mu muti ogukolebwako.
","Okukuba ebifaananyi nga okuyita mu mutimbagiro, kubanga bwetaatira ayita mu busera bw’olutimbe okukola ekifaananyi ku bintu nga olupapula, engoye, oba ebintu ebirala.
","Okuyoola n'okukuba ebifaananyi nga bakozesa amazzi, olw'okuba bwino aba yeesigadde mu tunyiro otuba twakoze mu kikaati ky'ekyuma, n'olwekyo, ekifaananyi ekikubiddwa kiva mu tunyiro tw'ekikaati so si ku ngulu kwakyo.
","Obuwandiike bwa lithography, olw’obuzito bw’ejjinja erikozesebwa, nga bugattiddwa ku bunene bw’amaanyi agasaanikiddwa ekyuma ekikuba ebifaananyi, butondekawo akabonero omubala gwe gweyoleka nga gulinnye waggulu katono.
",,,,C,Creative arts,Teaching strategies,"Primary, Secondary",,,,353,A,1.948442700006126,1294,3,0,D,0.9785561000026064,1293,2,0,C,7.254549899997073,1929,787,768,B,10.06979670000146,1764,411,453,C,18.8159330999988,1671,322,,C,2.460550900003,1451,4,0,C,6.279659899999388,2419,1,1135,C,0.928211200000078,1284,1,,C,9.727342400001362,1903,1.0,619,C,2.491207299986854,1215,73,63
87,Pedagogy Benchmark Luganda,"Ngeri ki esinga okusaana okukozesebwa okukola omulimu, okwanguya abayizi okutegeera enkola y'okusiiga ebifaananyi eya Jackson Pollock?",Kozesa okutereeza ebifaananyi okukola omutindo gw'okutambula mu by'olaba,Kozesa ebikolwa by'omubiri okuleka akabonero akali mu kifaananyi.,Kozesa ebikwaso eby’enjawulo nga bw’okozesa engeri z’okusiiga ez’enjawulo.,Kozesa ebifaananyi ebitaliimu mulamwa okukola ekunganiro lyebifananyi.,,,,B,Creative arts,Teaching strategies,All,,,,355,B,1.9644391000038013,1062,3,0,C,1.0763903999977629,1061,2,0,C,6.463630599995668,1520,595,576,A,8.530338399999891,1778,670,881,B,11.275193000001307,1470,373,,B,2.254436699993676,1187,4,0,B,3.2892676000046777,1597,1,545,B,0.5354591999930562,1052,1,,B,8.182168299972545,1567,1.0,515,B,2.5411831999663264,1011,86,76
88,Pedagogy Benchmark Luganda,"Omusomesa ow'ekibiina ekya pulayimale eyo kutaano alaga abayizi be ebifaananyi bya Chile okuva mu biseera eby'enjawulo, ng'annyonnyola engeri ez'enjawulo abasiizi byaabyo gye bakozesaamu langi, enkula, n'okumulisa. Oluvannyuma, abasoomooza okulonda ekifaananyi, ekitali mu byo bye balabye, okwekkaanya kinnoomu ebintu bye bimu eby'olulimi olw'okulaba bye bayigiriziddwa. Ku nkomerero, abayizi baleeta okwekkaanya kwabwe mu kibiina. Omusomesa akola omulimu guno ng'akozesa akabonero.

Lwaki okukozesa enkola eno ewagilwa okukebera ekigendererwa ekiragiddwa mu mulimu oguyise?",Kubanga kizingiramu okukola ebintu eby'enjawulo ebirina okwawulibwa okusobola okuwa omuyizi obubaka.,Kubanga akabonero kakiliza okugatta ebipimo eby'enjawulo .,"Kubanga akabonero kakiliza okwetegeleza nga togabye makisi oba okuwa endonwooza yo ku muyizi kyakoze,naye ku ngeri gya kikozeemu.",Kubanga akabonero kakiliza okulonda enkozesa esinze okuva mu bayiizi bye betegelezza.,,,,A,Creative arts,Assessment,Primary,,,,361,C,0.7750569999989239,1262,3,0,C,1.0043149999983143,1261,2,0,B,9.4026984000011,2083,979,960,C,10.445400899996455,1685,368,501,C,10.169058499996028,1626,321,,C,3.4381674000032945,1412,4,0,C,5.151485800000955,2178,1,926,C,0.8115249999973457,1252,1,,A,41.757842599996366,4589,1.0,3337,B,5.580905899987556,1278,174,164
89,Pedagogy Benchmark Luganda,"Omusomesa bwaaba ayagala abayizi be okubeera abetegefu okulaga ekiseera kya Baroque okusinziira ku ndabika y'ebintu etali yabuligyo, njigiriza ya kikula ki gyebalina okusaako essira?",Enjawulo wakati w'ebiyimbibwa ebyenjawulo  n'ezikubibwa.,Okutegeera okubaawo kwebika byenyimba,"Okumanyisa abatutumufu abaakola ennyimba: Vivaldi, Bach, Haendel",Okunnyonnyola ebintu eby'enjawulo ebyaliwo ebyatandika era ne bimaliriza mukiseera wakati wa 1600 ne 1750.,,,,B,Creative arts,Teaching strategies,Secondary,,,,363,D,1.1823339000038686,1080,3,0,D,0.9823917000030632,1079,2,0,D,5.179136500002642,1348,403,384,D,22.40056669999467,1711,583,606,D,8.54865140000038,1443,322,,D,2.624159500002861,1206,4,0,D,4.403835400000389,1756,1,686,D,0.813512399996398,1070,1,,D,39.962915800046176,4596,1.0,3526,D,2.4022262999787927,1019,74,64
90,Pedagogy Benchmark Luganda,"Soma embeera eno:
Omusomesa w'okuyimba n'ebivuga ayise bayizi be okukola omulimu gw'okukuba ebivuga, mu kusooka, asooka n'abayigiriza oluyimba olw'ekika ekimu olutali lwangu, ate n'olw'ekika ekirala. Omuyigisa agezesa ennyimba zino mu ngeri[[1]] zino: 1. Abayizi bonna awamu basooka ne bakuba olusooka; ate olwo ne bakuba olw'okubiri. 2. Ekibinja ky'abayizi bakuba olusooka ate abalala ne bakuba olw'okubiri, bwe batyo ne bakola ennyimba ez'enjawulo. 3. Abayizi bonna bakuba omulundi gumu, naye nga bakuba babiri babiri. 4. Ku nkomerero, abayizi kinnoomu balondebwa okukuba buli luyimba olw'ekika ekirala. Nkulaakulana ya ngeri ki esinga okukuzibwa omulimu ogwo oguguddwa waggulu?",Okutegeera,Ekibiina,Endagamuntu,Entambula y'obwongo.,,,,D,Creative arts,Student understanding,"Primary, Secondary",,,,367,A,1.8685961000010136,1196,3,0,B,1.380995500003337,1195,2,0,B,8.937958299997263,1967,915,896,D,12.486617800001111,1940,694,784,B,13.814386999998533,1690,448,,D,2.76186289999896,1338,4,0,B,4.906470800000534,2064,1,878,B,0.8587761000017053,1186,1,,A,54.79862100002356,5240,1.0,4054,B,3.176271700009238,1161,109,99
91,Pedagogy Benchmark Luganda,"Soma embeera eno: Mu kiseera omusomesa ng’annyonnyola ebika by’obubonero bw’ebiseera, akiraba nti abayizi be abasinga obungi tebasobola kuwulira njawulo wakati w’ebika by’obubonero bw’ebiseera ebirina omuwendo gw’obukuba bwe gumu naye nga byawukana mu mugawanyo (2/4 ne 6/8, 3/4 ne 9/8, 4/4 ne 12/8). Kiki omusomesa ky’ayinza okukola okuyamba abayizi okwawula enjawulo ezo?
","Weetebwa omuyizzi gw'ennyimba ogulaga enjawulo zino.
","Kyusa akabonero k'obudde aka melody ennyangu nga okukozesa omu kubambi akakola ebipande by'ennyimba.
","Mukoone oluyimba mu 6/8 n'abayizi, era amangu ddala nga mumaze, mukyuse akazimbulukusa kalyo okulukola mu 3/4.
","Okunnyonnyola engeri empalo gy’eyawulwamu mu bibiri n’ensatu nga tukozesa okumanya kw’abuyigirizwa kwe balina ku by’emikutule.
",,,,C,Creative arts,Teaching strategies,Secondary,,,,368,C,0.719420599998557,1219,3,0,A,0.4603939999942668,1218,2,0,D,7.70104739999806,1727,659,640,B,11.517556400001922,1759,494,570,C,12.77341449999949,1741,482,,D,2.804376499996579,1361,4,0,C,5.120699300001434,2157,1,948,C,0.8802100000029895,1209,1,,C,56.94561360002263,5617,1.0,4408,D,2.119722899980843,1127,59,49
92,Pedagogy Benchmark Luganda,"Omusomesa wa pulayimale yalagidde abayizzi be ab'ekibiina eky'okusattu okusoma nga bwebaddamu olugero olumpi olulagibbwa ku lutimbe. Mukusooka, bali bakusoma kinnomu atte mukasirise, oluvanyumma, baatule, nga bagoberera obubonero obwempandika. Kika ki eky'okuyiga ekifuna mu mu bikolwa ebilagiddwa?",Okukuguka mu byensoma,Okuzzamu ammanyi okusoma okw'okutegera,Okwekeneenya enjatula y'ebigambo,Okummanya okusoma okw'obubonero,,,,A,Creative arts,Teaching strategies,Secondary,,,,372,B,2.077878399999463,1067,3,0,B,0.5345840000009048,1066,2,0,D,11.312925700003689,2107,1171,1152,D,21.358599300001515,1687,570,567,D,11.372430800001894,1485,377,,D,2.5392170999984955,1195,4,0,D,4.205613500002073,1772,1,715,B,0.9453432999944198,1057,1,,A,7.022389999998268,1450,1.0,393,D,4.8259294999879785,1088,152,142
